simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
白色,白色,bái sè,anti-communist ; fig. reactionary ; white,2643,2,n,白
白天,白天,bái tiān,day ; daytime ; during the day,3645,1,t,白
百,百,Bǎi | bǎi,all kinds of ; hundred ; numerous ; surname Bai,2455,1,"m,t",白
百分比,百分比,bǎi fēn bǐ,percentage,21781,7,n,白
百分点,百分點,bǎi fēn diǎn,percentage point,10677,6,n,白
百合,百合,bǎi hé,lily,10056,7,"n,nr",白
百货,百貨,bǎi huò,general merchandise,11134,4,n,白
百科全书,百科全書,bǎi kē quán shū,encyclopedia,22806,7,n,白
柏树,柏樹,bǎi shù,Taiwan pr. [bó shù] ; cypress tree,38128,7,n,木
摆,擺,bǎi,a pendulum ; to arrange ; to exhibit ; to move to and fro,1854,4,v,扌
摆动,擺動,bǎi dòng,to move back and forth ; to oscillate ; to sway ; to swing,16046,4,v,扌
摆放,擺放,bǎi fàng,to set up; to arrange; to lay out,10963,7,"v,vn",扌
摆平,擺平,bǎi píng,to be fair ; to be impartial ; to settle (a matter etc),16373,7,v,扌
摆设,擺設,bǎi she | bǎi shè,(fig.) sth that is merely for show ; decorative item ; ornament ; to display ; to furnish (a room or house) ; to set out,14321,7,"n,v",扌
摆脱,擺脫,bǎi tuō,to break away (from) ; to break away from ; to break out (of) ; to cast off (old ideas etc) ; to extricate oneself ; to free oneself from ; to get rid of,3424,4,v,扌
败,敗,bài,to damage ; to defeat ; to fail ; to lose (to an opponent) ; to wither,4262,4,v,贝
拜访,拜訪,bài fǎng,to pay a visit; to call on,6619,5,"v,vn",手
拜会,拜會,bài huì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on,30764,7,v,手
拜见,拜見,bài jiàn,to call to pay respects ; to meet one's senior or superior ; to pay a formal visit,24574,7,v,手
拜年,拜年,bài nián,to pay a New Year call ; to wish sb a Happy New Year,28932,7,v,手
拜托,拜託,bài tuō,please! ; to request sb to do sth,5463,7,v,手
扳,扳,bān | pān,to pull ; to recoup ; to turn (sth) around ; to turn around (a situation) ; variant of 攀,11169,7,v,扌
班,班,Bān | bān,(military) squad ; classifier for groups of people and scheduled transport vehicles ; surname Ban ; team; class; grade ; work shift,1238,1,"n,q,nr",王
班级,班級,bān jí,class (group of students) ; grade (in school),10486,3,n,王
班长,班長,bān zhǎng,class monitor ; squad leader ; team leader,9622,2,n,王
颁布,頒布,bān bù,"to enact (laws, decrees etc) ; to issue ; to proclaim",12004,7,"v,vn",页
颁发,頒發,bān fā,to award ; to issue ; to promulgate,8003,7,v,页
颁奖,頒獎,bān jiǎng,to confer an award,5383,7,"vn,v",页
斑点,斑點,bān diǎn,speckle ; spot ; stain,13316,7,n,文
搬,搬,bān,to copy indiscriminately ; to move (i.e. relocate oneself) ; to move (sth relatively heavy or bulky) ; to shift,2254,3,v,扌
