simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
感冒,感冒,gǎnmào,ㄍㄢˇ ㄇㄠˋ,"to catch cold; (common) cold; CL:場|场[chang2],次[ci4]; (coll.) to be interested in (often used in the negative); (Tw) to detest; can't stand",3,名、动,806192,2425,3,457.0,13.62,2.6599,320.0,5.13,2.5051,2419.0,True
名单,名單,míngdān,ㄇㄧㄥˊ ㄉㄢ,list of names,3,名,801355,2436,3,2212.0,65.94,3.3448,1130.0,18.1,3.0531,1205.0,True
牙,牙,yá,ㄧㄚˊ,tooth; ivory; CL:顆|颗[ke1],3,名,799512,2440,3,1221.0,36.4,3.0867,717.0,11.48,2.8555,1734.0,True
公园,公園,gōngyuán,ㄍㄨㄥ ㄩㄢˊ,park (for public recreation); CL:座[zuo4],3,名,796013,2449,3,2206.0,65.76,3.3436,1008.0,16.15,3.0035,1208.0,True
合适,合適,héshì,ㄏㄜˊ ㄕˋ,suitable; fitting; appropriate,3,形,787446,2469,3,2385.0,71.1,3.3775,1665.0,26.67,3.2214,1142.0,True
数学,數學,shùxué,ㄕㄨˋ ㄒㄩㄝˊ,mathematics,3,名,778693,2488,3,735.0,21.91,2.8663,388.0,6.21,2.5888,2147.0,True
相机,相機,xiàngjī,ㄒㄧㄤˋ ㄐㄧ,camera (abbr. for 照相機|照相机[zhao4 xiang4 ji1]); at the opportune moment; as the circumstances allow,3,名,778052,2491,3,548.0,16.34,2.7388,322.0,5.16,2.5079,2328.0,True
空调,空調,kōngtiáo,ㄎㄨㄥ ㄊㄧㄠˊ,air conditioning; air conditioner (including units that have a heating mode); CL:臺|台[tai2],3,名,775058,2498,3,251.0,7.48,2.3997,190.0,3.04,2.2788,2625.0,True
笔记本,筆記本,bǐjìběn,ㄅㄧˇ ㄐㄧˋ ㄅㄣˇ,notebook (stationery) (CL:本[ben3]); (computing) laptop; notebook (abbr. for 筆記本電腦|笔记本电脑[bi3 ji4 ben3 dian4 nao3]),3,名,757706,2542,3,395.0,11.77,2.5966,265.0,4.24,2.4232,2481.0,True
差不多,差不多,chàbuduō,ㄔㄚˋ ㄅㄨ˙ ㄉㄨㄛ,almost; nearly; more or less; about the same; good enough; not bad,3,形、副,752078,2557,3,3326.0,99.15,3.5219,2268.0,36.33,3.3556,895.0,True
聪明,聰明,cōngmíng,ㄘㄨㄥ ㄇㄧㄥ˙,intelligent; clever; bright; acute (of sight and hearing),3,形,750611,2560,3,4415.0,131.61,3.6449,2503.0,40.09,3.3985,703.0,True
新鲜,新鮮,xīnxiān,ㄒㄧㄣ ㄒㄧㄢ,"fresh (experience, food etc); freshness; novel; uncommon",3,形,748860,2564,3,1145.0,34.13,3.0588,891.0,14.27,2.9499,1791.0,True
聊,聊,liáo,ㄌㄧㄠˊ,(coll.) to chat; (literary) temporarily; for a while; (literary) somewhat; slightly; (literary) to depend upon,3,动,747801,2566,3,1884.0,56.16,3.2751,1285.0,20.58,3.1089,1347.0,True
以外,以外,yǐwài,ㄧˇ ㄨㄞˋ,apart from; other than; except for; external; outside of; on the other side of; beyond,3,名,740176,2589,3,795.0,23.7,2.9004,688.0,11.02,2.8376,2091.0,True
运动员,運動員,yùndòngyuán,ㄩㄣˋ ㄉㄨㄥˋ ㄩㄢˊ,"athlete; CL:名[ming2],個|个[ge4]",3,名,739577,2590,3,680.0,20.27,2.8325,432.0,6.92,2.6355,2200.0,True
锻炼,鍛鍊,duànliàn,ㄉㄨㄢˋ ㄌㄧㄢˋ,to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself,3,动,718015,2633,3,457.0,13.62,2.6599,340.0,5.45,2.5315,2419.0,True
男生,男生,nánshēng,ㄋㄢˊ ㄕㄥ,schoolboy; male student; boy; guy (young adult male),3,名,715457,2637,3,1042.0,31.06,3.0179,546.0,8.75,2.7372,1873.0,True
号码,號碼,hàomǎ,ㄏㄠˋ ㄇㄚˇ,"number; CL:堆[dui1],個|个[ge4]",3,名,710084,2650,3,3136.0,93.48,3.4964,1531.0,24.52,3.185,931.0,True
员,員,yuán,ㄩㄢˊ,(bound form) person engaged in a certain field of activity; (bound form) member; classifier for military generals,3,后缀,708206,2653,3,6763.0,201.6,3.8301,2180.0,34.92,3.3385,489.0,True
节日,節日,jiérì,ㄐㄧㄝˊ ㄖˋ,holiday; festival; CL:個|个[ge4],3,名,700342,2672,3,570.0,16.99,2.7559,261.0,4.18,2.4166,2306.0,True
东北,東北,dōngběi,ㄉㄨㄥ ㄅㄟˇ,Northeast China; Manchuria; northeast,3,名,694073,2685,3,139.0,4.14,2.143,101.0,1.62,2.0043,2737.0,True
对话,對話,duìhuà,ㄉㄨㄟˋ ㄏㄨㄚˋ,to talk (with sb); dialogue; conversation,3,动,682501,2726,3,716.0,21.34,2.8549,570.0,9.13,2.7559,2165.0,True
好久,好久,hǎojiǔ,ㄏㄠˇ ㄐㄧㄡˇ,quite a while,3,形,679053,2741,3,992.0,29.57,2.9965,762.0,12.21,2.882,1919.0,True
尝,甞,cháng,ㄔㄤˊ,to taste; to try (food); to experience; (literary) ever; once; to taste; to experience (variant of 嘗|尝[chang2]); old variant of 嘗|尝[chang2],3,动,677278,2745,3,734.0,21.88,2.8657,547.0,8.76,2.738,2148.0,True
生气,生氣,shēngqì,ㄕㄥ ㄑㄧˋ,to get angry; to be furious; vitality; liveliness,3,动,672852,2762,3,3828.0,114.11,3.583,2216.0,35.5,3.3456,791.0,True
南方,南方,nánfāng,ㄋㄢˊ ㄈㄤ,"south; southern direction; (in China) southern regions, often referring to areas south of the Yangtze River",3,名,665153,2783,3,766.0,22.83,2.8842,366.0,5.86,2.5635,2116.0,True
到处,到處,dàochù,ㄉㄠˋ ㄔㄨˋ,everywhere,3,副,660638,2792,3,3511.0,104.66,3.5454,2278.0,36.49,3.3576,854.0,True
夫妻,夫妻,fūqī,ㄈㄨ ㄑㄧ,husband and wife; married couple,3,名,657377,2804,3,632.0,18.84,2.8007,447.0,7.16,2.6503,2246.0,True
一会儿,一會兒,yíhuìr,ㄧ ㄏㄨㄟˋ ㄦ˙,a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5],2（3）,数量、（副）,653674,2815,2,3339.0,99.53,3.5236,2043.0,32.72,3.3103,891.0,True
外地,外地,wàidì,ㄨㄞˋ ㄉㄧˋ,parts of the country other than where one is,3,名,643082,2856,3,88.0,2.62,1.9445,76.0,1.22,1.8808,2788.0,True
干净,乾淨,gānjìng,ㄍㄢ ㄐㄧㄥˋ,clean; neat,3,形,640945,2859,3,2189.0,65.25,3.3402,1525.0,24.43,3.1833,1213.0,True
夏天,夏天,xiàtiān,ㄒㄧㄚˋ ㄊㄧㄢ,summer; CL:個|个[ge4],3,名,640188,2862,3,1065.0,31.75,3.0273,640.0,10.25,2.8062,1852.0,True
搬,搬,bān,ㄅㄢ,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,3,动,619148,2922,3,3598.0,107.25,3.5561,1868.0,29.92,3.2714,837.0,True
大人,大人,dàren,ㄉㄚˋ ㄖㄣ˙,adult; grownup; title of respect toward superiors,3,名,613566,2934,3,2784.0,82.99,3.4447,748.0,11.98,2.8739,1025.0,True
校园,校園,xiàoyuán,ㄒㄧㄠˋ ㄩㄢˊ,campus,3,名,609727,2941,3,377.0,11.24,2.5763,229.0,3.67,2.3598,2499.0,True
自行车,自行車,zìxíngchē,ㄗˋ ㄒㄧㄥˊ ㄔㄜ,bicycle; bike; CL:輛|辆[liang4],3,名,608200,2946,3,704.0,20.99,2.8476,382.0,6.12,2.5821,2177.0,True
难过,難過,nánguò,ㄋㄢˊ ㄍㄨㄛˋ,to feel sad; to feel unwell; (of life) to be difficult,3,形,591575,2994,3,1605.0,47.84,3.2055,1176.0,18.84,3.0704,1495.0,True
季节,季節,jìjié,ㄐㄧˋ ㄐㄧㄝˊ,time; season; period; CL:個|个[ge4],3,名,585186,3025,3,308.0,9.18,2.4886,227.0,3.64,2.356,2568.0,True
花园,花園,huāyuán,ㄏㄨㄚ ㄩㄢˊ,"garden (for flowers, ornamental plants etc); (landscaped) park; yard with decorative plants; CL:座[zuo4]",3,名,579967,3035,3,744.0,22.18,2.8716,423.0,6.78,2.6263,2138.0,True
初中,初中,chūzhōng,ㄔㄨ ㄓㄨㄥ,junior high school (abbr. for 初級中學|初级中学[chu1 ji2 zhong1 xue2]),3,名,578747,3043,3,114.0,3.4,2.0569,92.0,1.47,1.9638,2762.0,True
蛋糕,蛋糕,dàngāo,ㄉㄢˋ ㄍㄠ,"cake; CL:塊|块[kuai4],個|个[ge4]",3,名,567842,3087,3,1987.0,59.23,3.2982,829.0,13.28,2.9186,1293.0,True
晚会,晚會,wǎnhuì,ㄨㄢˇ ㄏㄨㄟˋ,evening party; CL:個|个[ge4],3,名,556172,3140,3,660.0,19.67,2.8195,365.0,5.85,2.5623,2219.0,True
安静,安靜,ānjìng,ㄢ ㄐㄧㄥˋ,quiet; peaceful; calm,3,形,552677,3157,3,2951.0,87.97,3.47,1753.0,28.08,3.2438,973.0,True
啤酒,啤酒,píjiǔ,ㄆㄧˊ ㄐㄧㄡˇ,"beer (loanword); CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]",3,名,551752,3160,3,2310.0,68.86,3.3636,1186.0,19.0,3.0741,1171.0,True
刻,刻,kè,ㄎㄜˋ,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals,3（5）,量、（动）,549660,3166,3,600.0,17.89,2.7782,470.0,7.53,2.6721,2276.0,True
常见,常見,cháng jiàn,ㄔㄤˊ ㄐㄧㄢˋ,commonly seen; common; to see sth frequently,3,unknown,548923,3170,3,261.0,7.78,2.4166,237.0,3.8,2.3747,2615.0,True
得分,得分,défēn,ㄉㄜˊ ㄈㄣ,"to score a point (in a competition, test etc); score; rating; grade",3,动、名,547351,3177,3,636.0,18.96,2.8035,305.0,4.89,2.4843,2242.0,True
客人,客人,kèrén,ㄎㄜˋ ㄖㄣˊ,visitor; guest; customer; client; CL:位[wei4],3,名,539526,3201,3,1939.0,57.8,3.2876,1171.0,18.76,3.0686,1315.0,True
校长,校長,xiàozhǎng,ㄒㄧㄠˋ ㄓㄤˇ,"(college, university) president; headmaster; CL:個|个[ge4],位[wei4],名[ming2]",3,名,518746,3294,3,932.0,27.78,2.9694,382.0,6.12,2.5821,1966.0,True
身高,身高,shēngāo,ㄕㄣ ㄍㄠ,(a person's) height,3,名,515991,3307,3,263.0,7.84,2.42,201.0,3.22,2.3032,2613.0,True
甜,甜,tián,ㄊㄧㄢˊ,sweet,3,形,514502,3314,3,4400.0,131.16,3.6435,1890.0,30.27,3.2765,706.0,True
北方,北方,běifāng,ㄅㄟˇ ㄈㄤ,north; the northern part a country; China north of the Yellow River,3,名,501878,3365,3,324.0,9.66,2.5105,203.0,3.25,2.3075,2552.0,True
球场,球場,qiúchǎng,ㄑㄧㄡˊ ㄔㄤˇ,"stadium; sports ground; court; pitch; field; golf course; CL:個|个[ge4],處|处[chu4]",3,名,499310,3374,3,420.0,12.52,2.6232,210.0,3.36,2.3222,2456.0,True
喜爱,喜愛,xǐ'ài,ㄒㄧˇ ㄞˋ,to like; to love; to be fond of; favorite,3,动,493925,3403,3,484.0,14.43,2.6848,380.0,6.09,2.5798,2392.0,True
住院,住院,zhùyuàn,ㄓㄨˋ ㄩㄢˋ,to stay in hospital; to be hospitalized,3,动,493697,3406,3,420.0,12.52,2.6232,242.0,3.88,2.3838,2456.0,True
扫,掃,sǎo,ㄙㄠˇ,to sweep (with a brush or broom); to sweep away; to wipe out; to get rid of; to sweep (one's eyes etc) over; to scan; (bound form) a (large) broom,3,动,489647,3429,3,394.0,11.74,2.5955,311.0,4.98,2.4928,2482.0,True
半天,半天,bàntiān,ㄅㄢˋ ㄊㄧㄢ,half of the day; a long time; quite a while; midair; CL:個|个[ge4],3,数量,486846,3441,3,115.0,3.43,2.0607,109.0,1.75,2.0374,2761.0,True
饮料,飲料,yǐnliào,ㄧㄣˇ ㄌㄧㄠˋ,drink; beverage,3,名,486482,3443,3,942.0,28.08,2.9741,666.0,10.67,2.8235,1957.0,True
放假,放假,fàngjià,ㄈㄤˋ ㄐㄧㄚˋ,to have a holiday or vacation,3,动,485777,3448,3,183.0,5.46,2.2625,146.0,2.34,2.1644,2693.0,True
姐妹,姐妹,jiěmèi,ㄐㄧㄝˇ ㄇㄟˋ,"sisters; siblings; sister (school, city etc)",3,名,482570,3461,3,1340.0,39.94,3.1271,747.0,11.97,2.8733,1654.0,True
春天,春天,chūntiān,ㄔㄨㄣ ㄊㄧㄢ,spring (season); CL:個|个[ge4],3,名,479609,3475,3,448.0,13.35,2.6513,272.0,4.36,2.4346,2428.0,True
矮,矮,ǎi,ㄞˇ,(of a person) short; (of a wall etc) low; (of rank) inferior (to); lower (than),3,形,473647,3504,3,629.0,18.75,2.7987,352.0,5.64,2.5465,2249.0,True
洗澡,洗澡,xǐzǎo,ㄒㄧˇ ㄗㄠˇ,to bathe; to take a shower,3,动,471874,3514,3,948.0,28.26,2.9768,677.0,10.84,2.8306,1955.0,True
练习,練習,liànxí,ㄌㄧㄢˋ ㄒㄧˊ,to practice; exercise; drill; practice; CL:個|个[ge4],3,动、名,471669,3515,3,1637.0,48.8,3.214,935.0,14.98,2.9708,1480.0,True
难题,難題,nántí,ㄋㄢˊ ㄊㄧˊ,difficult problem,3,名,464709,3569,3,213.0,6.35,2.3284,197.0,3.16,2.2945,2663.0,True
遇见,遇見,yùjiàn,ㄩˋ ㄐㄧㄢˋ,to meet,3,动,452019,3637,3,1172.0,34.94,3.0689,862.0,13.81,2.9355,1770.0,True
爱人,愛人,àiren,ㄞˋ ㄖㄣ˙,spouse (PRC); lover (non-PRC); CL:個|个[ge4],3,名,448817,3652,3,508.0,15.14,2.7059,371.0,5.94,2.5694,2368.0,True
图书馆,圖書館,túshūguǎn,ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ,"library; CL:家[jia1],個|个[ge4]",3,名,445096,3672,3,768.0,22.89,2.8854,405.0,6.49,2.6075,2114.0,True
分开,分開,fēnkāi,ㄈㄣ ㄎㄞ,to separate; to part,3,动,444893,3673,3,1283.0,38.25,3.1082,942.0,15.09,2.9741,1691.0,True
耳朵,耳朵,ěrduo,ㄦˇ ㄉㄨㄛ˙,"ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]; handle (on a cup)",3,名,442353,3684,3,1171.0,34.91,3.0686,795.0,12.73,2.9004,1771.0,True
刮,颳,guā,ㄍㄨㄚ,to scrape; to blow; to shave; to plunder; to extort; to blow (of the wind),3,动,431696,3742,3,750.0,22.36,2.8751,512.0,8.2,2.7093,2132.0,True
饱,飽,bǎo,ㄅㄠˇ,to eat till full; satisfied,3,形,421884,3809,3,425.0,12.67,2.6284,360.0,5.77,2.5563,2451.0,True
路口,路口,lùkǒu,ㄌㄨˋ ㄎㄡˇ,crossing; intersection (of roads),3,名,419278,3823,3,205.0,6.11,2.3118,159.0,2.55,2.2014,2671.0,True
地图,地圖,dìtú,ㄉㄧˋ ㄊㄨˊ,"map; CL:張|张[zhang1],本[ben3]",3,名,413090,3861,3,1206.0,35.95,3.0813,576.0,9.23,2.7604,1745.0,True
感兴趣,感興趣,gǎn xìngqù,ㄍㄢˇ ㄒㄧㄥˋ ㄑㄩˋ,to be interested,3,unknown,410774,3875,3,44.0,1.31,1.6435,42.0,0.67,1.6232,2832.0,True
月亮,月亮,yuèliang,ㄩㄝˋ ㄌㄧㄤ˙,the moon,3,名,407082,3889,3,429.0,12.79,2.6325,251.0,4.02,2.3997,2447.0,True
沙发,沙發,shāfā,ㄕㄚ ㄈㄚ,"sofa (loanword); CL:條|条[tiao2],張|张[zhang1]; (Internet slang) the first reply or replier to a forum post",3,名,403329,3909,3,908.0,27.07,2.9581,604.0,9.67,2.781,1985.0,True
宾馆,賓館,bīnguǎn,ㄅㄧㄣ ㄍㄨㄢˇ,"guesthouse; lodge; hotel; CL:個|个[ge4],家[jia1]",3,名,402289,3916,3,381.0,11.36,2.5809,200.0,3.2,2.301,2495.0,True
开会,開會,kāihuì,ㄎㄞ ㄏㄨㄟˋ,to hold a meeting; to attend a meeting,3,动,397712,3949,3,573.0,17.08,2.7582,449.0,7.19,2.6522,2303.0,True
马路,馬路,mǎlù,ㄇㄚˇ ㄌㄨˋ,street; road; CL:條|条[tiao2],3,名,396997,3953,3,358.0,10.67,2.5539,279.0,4.47,2.4456,2518.0,True
拍照,拍照,pāizhào,ㄆㄞ ㄓㄠˋ,to take a picture,3,动,393805,3977,3,1020.0,30.41,3.0086,500.0,8.01,2.699,1893.0,True
邻居,鄰居,línjū,ㄌㄧㄣˊ ㄐㄩ,neighbor; CL:個|个[ge4],3,名,391206,3986,3,1803.0,53.75,3.256,1102.0,17.65,3.0422,1380.0,True
黄色,黃色,huángsè,ㄏㄨㄤˊ ㄙㄜˋ,yellow; vulgar; lewd; pornographic,3,名,391205,3987,3,658.0,19.61,2.8182,452.0,7.24,2.6551,2221.0,True
伞,繖,sǎn,ㄙㄢˇ,umbrella; parasol; CL:把[ba3]; damask silk; variant of 傘|伞[san3],3,名,384672,4024,3,227.0,6.77,2.356,127.0,2.03,2.1038,2649.0,True
复习,複習,fùxí,ㄈㄨˋ ㄒㄧˊ,to review; revision; CL:次[ci4]; variant of 復習|复习[fu4 xi2],3,动,379849,4066,3,166.0,4.95,2.2201,126.0,2.02,2.1004,2710.0,True
冰箱,冰箱,bīngxiāng,ㄅㄧㄥ ㄒㄧㄤ,refrigerator; (old) icebox,3,名,379431,4069,3,739.0,22.03,2.8686,551.0,8.83,2.7412,2143.0,True
名人,名人,míngrén,ㄇㄧㄥˊ ㄖㄣˊ,personage; celebrity,3,名,371909,4132,3,1039.0,30.97,3.0166,541.0,8.67,2.7332,1876.0,True
电梯,電梯,diàntī,ㄉㄧㄢˋ ㄊㄧ,"elevator; escalator; CL:臺|台[tai2],部[bu4]",3,名,371152,4136,3,1025.0,30.55,3.0107,526.0,8.43,2.721,1888.0,True
西南,西南,xīnán,ㄒㄧ ㄋㄢˊ,southwest,3,名,368993,4148,3,149.0,4.44,2.1732,92.0,1.47,1.9638,2727.0,True
一共,一共,yígòng,ㄧ ㄍㄨㄥˋ,in total; altogether,3,副,361970,4197,3,507.0,15.11,2.705,429.0,6.87,2.6325,2369.0,True
留学,留學,liúxué,ㄌㄧㄡˊ ㄒㄩㄝˊ,to study abroad,3,动,361869,4198,3,22.0,0.66,1.3424,20.0,0.32,1.301,2854.0,True
假期,假期,jiàqī,ㄐㄧㄚˋ ㄑㄧ,vacation,3,名,358031,4220,3,584.0,17.41,2.7664,417.0,6.68,2.6201,2292.0,True
信用卡,信用卡,xìnyòngkǎ,ㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇ,credit card,3,名,357515,4225,3,1029.0,30.67,3.0124,637.0,10.2,2.8041,1885.0,True
网球,網球,wǎngqiú,ㄨㄤˇ ㄑㄧㄡˊ,tennis; tennis ball; CL:個|个[ge4],3,名,351787,4260,3,341.0,10.16,2.5328,186.0,2.98,2.2695,2535.0,True
前天,前天,qiántiān,ㄑㄧㄢˊ ㄊㄧㄢ,the day before yesterday,3,名,350028,4273,3,114.0,3.4,2.0569,96.0,1.54,1.9823,2762.0,True
常用,常用,cháng yòng,ㄔㄤˊ ㄩㄥˋ,in common usage,3,unknown,343046,4322,3,74.0,2.21,1.8692,69.0,1.11,1.8388,2802.0,True
有用,有用,yǒuyòng,ㄧㄡˇ ㄩㄥˋ,useful,3,形,340533,4344,3,522.0,15.56,2.7177,464.0,7.43,2.6665,2354.0,True
着急,著急,zháojí,ㄓㄠˊ ㄐㄧˊ,to worry; to feel anxious; to feel a sense of urgency; to be in a hurry; Taiwan pr. [zhao1ji2],3,形,337168,4358,3,700.0,20.87,2.8451,584.0,9.35,2.7664,2181.0,True
阿姨,阿姨,āyí,ㄚ ㄧˊ,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],3,名,333765,4386,3,792.0,23.61,2.8987,392.0,6.28,2.5933,2094.0,True
邮件,郵件,yóujiàn,ㄧㄡˊ ㄐㄧㄢˋ,mail; post; email,3,名,333747,4387,3,1195.0,35.62,3.0774,680.0,10.89,2.8325,1754.0,True
叔叔,叔叔,shūshu,ㄕㄨ ㄕㄨ˙,father's younger brother; paternal uncle; form of address used by children for a male one generation older,3,名,332898,4390,3,2485.0,74.08,3.3953,966.0,15.47,2.985,1106.0,True
迟到,遲到,chídào,ㄔˊ ㄉㄠˋ,to arrive late,3,动,311765,4564,3,2413.0,71.93,3.3826,1499.0,24.01,3.1758,1131.0,True
香蕉,香蕉,xiāngjiāo,ㄒㄧㄤ ㄐㄧㄠ,"banana; CL:根[gen1],個|个[ge4],把[ba3]",3,名,308932,4585,3,395.0,11.77,2.5966,254.0,4.07,2.4048,2481.0,True
大衣,大衣,dàyī,ㄉㄚˋ ㄧ,overcoat; topcoat; cloak; CL:件[jian4],3,名,307800,4600,3,325.0,9.69,2.5119,209.0,3.35,2.3201,2551.0,True
耳机,耳機,ěrjī,ㄦˇ ㄐㄧ,headphones; earphones; telephone receiver,3,名,295557,4704,3,180.0,5.37,2.2553,128.0,2.05,2.1072,2696.0,True
学期,學期,xuéqī,ㄒㄩㄝˊ ㄑㄧ,term; semester; CL:個|个[ge4],3,名,280974,4846,3,356.0,10.61,2.5514,258.0,4.13,2.4116,2520.0,True
后天,後天,hòutiān,ㄏㄡˋ ㄊㄧㄢ,"the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1]); acquired (not innate or congenital); a posteriori",3,名,275774,4896,3,91.0,2.71,1.959,81.0,1.3,1.9085,2785.0,True
路边,路邊,lùbiān,ㄌㄨˋ ㄅㄧㄢ,curb; roadside; wayside,3,名,275338,4904,3,363.0,10.82,2.5599,303.0,4.85,2.4814,2513.0,True
西北,西北,xīběi,ㄒㄧ ㄅㄟˇ,"Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang); northwest",3,名,273039,4926,3,189.0,5.63,2.2765,137.0,2.19,2.1367,2687.0,True
西瓜,西瓜,xīguā,ㄒㄧ ㄍㄨㄚ,"watermelon; CL:顆|颗[ke1],個|个[ge5]",3,名,271595,4937,3,101.0,3.01,2.0043,78.0,1.25,1.8921,2775.0,True
屋子,屋子,wūzi,ㄨ ㄗ˙,house; room; CL:間|间[jian1],3,名,264047,5024,3,1602.0,47.75,3.2047,1080.0,17.3,3.0334,1498.0,True
外语,外語,wàiyǔ,ㄨㄞˋ ㄩˇ,foreign language; CL:門|门[men2],3,名,263261,5034,3,60.0,1.79,1.7782,50.0,0.8,1.699,2816.0,True
运动会,運動會,yùndònghuì,ㄩㄣˋ ㄉㄨㄥˋ ㄏㄨㄟˋ,sports competition; CL:個|个[ge4],3,名,248639,5180,3,55.0,1.64,1.7404,43.0,0.69,1.6335,2821.0,True
衬衫,襯衫,chènshān,ㄔㄣˋ ㄕㄢ,shirt; blouse; CL:件[jian4],3,名,246204,5212,3,848.0,25.28,2.9284,559.0,8.95,2.7474,2041.0,True
行李,行李,xíngli,ㄒㄧㄥˊ ㄌㄧ˙,luggage; CL:件[jian4],3,名,242695,5244,3,977.0,29.12,2.9899,662.0,10.6,2.8209,1934.0,True
东南,東南,dōngnán,ㄉㄨㄥ ㄋㄢˊ,southeast,3,名,238311,5280,3,68.0,2.03,1.8325,59.0,0.95,1.7709,2808.0,True
脏,髒,zāng,ㄗㄤˋ,viscera; (anatomy) organ; dirty; filthy; to get (sth) dirty,3,形,236413,5298,3,1439.0,42.9,3.1581,993.0,15.91,2.9969,1590.0,True
楼梯,樓梯,lóutī,ㄌㄡˊ ㄊㄧ,stair; staircase; CL:個|个[ge4],3,名,230707,5363,3,832.0,24.8,2.9201,546.0,8.75,2.7372,2057.0,True
起飞,起飛,qǐfēi,ㄑㄧˇ ㄈㄟ,(of an aircraft or rocket) to take off; to lift off; (fig.) (of an enterprise etc) to start to develop rapidly,3,动,229020,5383,3,668.0,19.91,2.8248,351.0,5.62,2.5453,2211.0,True
秋天,秋天,qiūtiān,ㄑㄧㄡ ㄊㄧㄢ,autumn; CL:個|个[ge4],3,名,225939,5420,3,254.0,7.57,2.4048,211.0,3.38,2.3243,2622.0,True
出院,出院,chūyuàn,ㄔㄨ ㄩㄢˋ,to leave hospital; to be discharged from hospital,3,动,224776,5432,3,218.0,6.5,2.3385,169.0,2.71,2.2279,2658.0,True
有名,有名,yǒumíng,ㄧㄡˇ ㄇㄧㄥˊ,famous; well-known,3,形,222893,5459,3,404.0,12.04,2.6064,345.0,5.53,2.5378,2472.0,True
过节,過節,guòjié,ㄍㄨㄛˋ ㄐㄧㄝˊ,to celebrate a festival; after the celebrations (i.e. once the festival is over),3,动,205214,5698,3,162.0,4.83,2.2095,120.0,1.92,2.0792,2714.0,True
体育馆,體育館,tǐyùguǎn,ㄊㄧˇ ㄩˋ ㄍㄨㄢˇ,gym; gymnasium; stadium; CL:個|个[ge4],3,名,204988,5699,3,237.0,7.06,2.3747,156.0,2.5,2.1931,2639.0,True
画家,畫家,huàjiā,ㄏㄨㄚˋ ㄐㄧㄚ,painter; CL:個|个[ge4],3,名,192187,5902,3,295.0,8.79,2.4698,184.0,2.95,2.2648,2581.0,True
筷子,筷子,kuàizi,ㄎㄨㄞˋ ㄗ˙,"chopsticks; CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]",3,名,188643,5969,3,90.0,2.68,1.9542,59.0,0.95,1.7709,2786.0,True
裙子,裙子,qúnzi,ㄑㄩㄣˊ ㄗ˙,skirt; CL:條|条[tiao2],3,名,187870,5980,3,1163.0,34.67,3.0656,619.0,9.92,2.7917,1777.0,True
留学生,留學生,liúxuéshēng,ㄌㄧㄡˊ ㄒㄩㄝˊ ㄕㄥ,student studying abroad; returned student; foreign student; international student,3,名,183665,6053,3,8.0,0.24,0.9031,7.0,0.11,0.8451,2868.0,True
羽毛球,羽毛球,yǔmáoqiú,ㄩˇ ㄇㄠˊ ㄑㄧㄡˊ,badminton; shuttlecock,3,名,177771,6158,3,24.0,0.72,1.3802,13.0,0.21,1.1139,2852.0,True
大熊猫,大熊貓,dàxióngmāo,ㄉㄚˋ ㄒㄩㄥˊ ㄇㄠ,giant panda (Ailuropoda melanoleuca),3,名,175641,6202,3,12.0,0.36,1.0792,7.0,0.11,0.8451,2864.0,True
卫生间,衛生間,wèishēngjiān,ㄨㄟˋ ㄕㄥ ㄐㄧㄢ,bathroom; toilet; WC; CL:間|间[jian1],3,名,170669,6288,3,342.0,10.19,2.534,240.0,3.84,2.3802,2534.0,True
瓶子,瓶子,píngzi,ㄆㄧㄥˊ ㄗ˙,bottle; CL:個|个[ge4],3,名,169559,6307,3,502.0,14.96,2.7007,323.0,5.17,2.5092,2374.0,True
打扫,打掃,dǎsǎo,ㄉㄚˇ ㄙㄠˇ,to clean; to sweep,3,动,167165,6357,3,744.0,22.18,2.8716,522.0,8.36,2.7177,2138.0,True
邮箱,郵箱,yóuxiāng,ㄧㄡˊ ㄒㄧㄤ,mailbox; post office box; email; email inbox,3,名,166395,6370,3,204.0,6.08,2.3096,155.0,2.48,2.1903,2672.0,True
菜单,菜單,càidān,ㄘㄞˋ ㄉㄢ,"menu; CL:份[fen4],張|张[zhang1]",3,名,166235,6373,3,325.0,9.69,2.5119,249.0,3.99,2.3962,2551.0,True
