simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
土生土长,土生土長,tǔshēng-tǔzhǎng,ㄊㄨˇ ㄕㄥ ㄊㄨˇ ㄓㄤˇ,"(idiom) (of people) born and raised in the locality; (of art forms, political parties, enterprises, products etc) developed locally from the outset; wholly indigenous",7-9,unknown,29461,10059,7-9,45.0,1.34,1.6532,40.0,0.64,1.6021,2831.0,True
知足常乐,知足常樂,zhīzú-chánglè,ㄓ ㄗㄨˊ ㄔㄤˊ ㄌㄜˋ,satisfied with what one has (idiom),7-9,unknown,29444,10060,7-9,4.0,0.12,0.6021,4.0,0.06,0.6021,2872.0,True
依依不舍,依依不捨,yīyī-bùshě,ㄧ ㄧ ㄅㄨˋ ㄕㄜˇ,reluctant to part (idiom); broken-hearted at having to leave,7-9,unknown,29437,10061,7-9,7.0,0.21,0.8451,7.0,0.11,0.8451,2869.0,True
拘束,拘束,jūshù,ㄐㄩ ㄕㄨˋ,to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent,7-9,动、形,29423,10062,7-9,69.0,2.06,1.8388,65.0,1.04,1.8129,2807.0,True
闲话,閒話,xiánhuà,ㄒㄧㄢˊ ㄏㄨㄚˋ,casual conversation; chat; gossip; to talk about (whatever comes to mind),7-9,名、动,29417,10063,7-9,69.0,2.06,1.8388,62.0,0.99,1.7924,2807.0,True
浩劫,浩劫,hàojié,ㄏㄠˋ ㄐㄧㄝˊ,calamity; catastrophe; apocalypse,7-9,名,29329,10065,7-9,41.0,1.22,1.6128,19.0,0.3,1.2788,2835.0,True
操练,操練,cāoliàn,ㄘㄠ ㄌㄧㄢˋ,drill; practice,7-9,动,29303,10066,7-9,22.0,0.66,1.3424,21.0,0.34,1.3222,2854.0,True
诸如此类,諸如此類,zhūrú-cǐlèi,ㄓㄨ ㄖㄨˊ ㄘˇ ㄌㄟˋ,things like this (idiom); and so on; and the rest; etc,7-9,unknown,29300,10067,7-9,167.0,4.98,2.2227,153.0,2.45,2.1847,2709.0,True
恩人,恩人,ēnrén,ㄣ ㄖㄣˊ,a benefactor; a person who has significantly helped sb else,7-9,名,29250,10068,7-9,67.0,2.0,1.8261,61.0,0.98,1.7853,2809.0,True
陡峭,陡峭,dǒuqiào,ㄉㄡˇ ㄑㄧㄠˋ,precipitous,7-9,形,29246,10069,7-9,20.0,0.6,1.301,17.0,0.27,1.2304,2856.0,True
瘟疫,瘟疫,wēnyì,ㄨㄣ ㄧˋ,plague; pestilence,7-9,名,29197,10071,7-9,237.0,7.06,2.3747,128.0,2.05,2.1072,2639.0,True
伸缩,伸縮,shēnsuō,ㄕㄣ ㄙㄨㄛ,to lengthen and shorten; flexible; adjustable; retractable; extensible; telescoping (collapsible),7-9,动,29186,10072,7-9,23.0,0.69,1.3617,19.0,0.3,1.2788,2853.0,True
足不出户,足不出戶,zúbùchūhù,ㄗㄨˊ ㄅㄨˋ ㄔㄨ ㄏㄨˋ,lit. not putting a foot outside; to stay at home,7-9,unknown,29173,10073,7-9,18.0,0.54,1.2553,17.0,0.27,1.2304,2858.0,True
夜校,夜校,yèxiào,ㄧㄝˋ ㄒㄧㄠˋ,evening school; night school,7-9,名,29153,10074,7-9,38.0,1.13,1.5798,29.0,0.46,1.4624,2838.0,True
碧绿,碧綠,bìlǜ,ㄅㄧˋ ㄌㄩˋ,dark green,7-9,形,29096,10075,7-9,9.0,0.27,0.9542,7.0,0.11,0.8451,2867.0,True
裁缝,裁縫,cáifeng,ㄘㄞˊ ㄈㄥˊ,to make an item of clothing; to tailor; tailor; dressmaker,7-9,名,29010,10076,7-9,139.0,4.14,2.143,101.0,1.62,2.0043,2737.0,True
耸立,聳立,sǒnglì,ㄙㄨㄥˇ ㄌㄧˋ,to stand tall; to tower aloft,7-9,动,29006,10077,7-9,12.0,0.36,1.0792,11.0,0.18,1.0414,2864.0,True
对症下药,對症下藥,duìzhèng-xiàyào,ㄉㄨㄟˋ ㄓㄥˋ ㄒㄧㄚˋ ㄧㄠˋ,lit. to prescribe the right medicine for an illness (idiom); fig. to study a problem to find the right way to solve it; to take appropriate steps,7-9,unknown,28994,10078,7-9,10.0,0.3,1.0,10.0,0.16,1.0,2866.0,True
斑马线,斑馬線,bānmǎxiàn,ㄅㄢ ㄇㄚˇ ㄒㄧㄢˋ,crosswalk; zebra crossing,7-9,名,28992,10079,7-9,2.0,0.06,0.301,2.0,0.03,0.301,2874.0,True
俘获,俘獲,fúhuò,ㄈㄨˊ ㄏㄨㄛˋ,to capture (enemy property or personnel); capture (physics: absorption of subatomic particle by an atom or nucleus),7-9,动,28929,10080,7-9,78.0,2.33,1.8921,54.0,0.86,1.7324,2798.0,True
奖赏,獎賞,jiǎngshǎng,ㄐㄧㄤˇ ㄕㄤˇ,reward; prize; award,7-9,动,28918,10081,7-9,208.0,6.2,2.3181,143.0,2.29,2.1553,2668.0,True
有声有色,有聲有色,yǒushēng-yǒusè,ㄧㄡˇ ㄕㄥ ㄧㄡˇ ㄙㄜˋ,having sound and color (idiom); vivid; dazzling,7-9,unknown,28908,10082,7-9,3.0,0.09,0.4771,3.0,0.05,0.4771,2873.0,True
拜会,拜會,bàihuì,ㄅㄞˋ ㄏㄨㄟˋ,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on,7-9,动,28864,10083,7-9,13.0,0.39,1.1139,11.0,0.18,1.0414,2863.0,True
避暑,避暑,bìshǔ,ㄅㄧˋ ㄕㄨˇ,to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke,7-9,动,28815,10084,7-9,43.0,1.28,1.6335,39.0,0.62,1.5911,2833.0,True
骏马,駿馬,jùnmǎ,ㄐㄩㄣˋ ㄇㄚˇ,fine horse; steed,7-9,名,28721,10086,7-9,29.0,0.86,1.4624,21.0,0.34,1.3222,2847.0,True
活期,活期,huóqī,ㄏㄨㄛˊ ㄑㄧ,(banking) current (account); checking (account); demand (deposit etc),7-9,形,28647,10087,7-9,3.0,0.09,0.4771,3.0,0.05,0.4771,2873.0,True
怜惜,憐惜,liánxī,ㄌㄧㄢˊ ㄒㄧ,to take pity on; to feel tenderness toward,7-9,动,28600,10088,7-9,9.0,0.27,0.9542,9.0,0.14,0.9542,2867.0,True
铺路,鋪路,pūlù,ㄆㄨ ㄌㄨˋ,to pave (with paving stones); to lay a road; (fig.) to lay the groundwork (for sth); to give a present to sb to ensure success,7-9,动,28493,10089,7-9,25.0,0.75,1.3979,22.0,0.35,1.3424,2851.0,True
惨白,慘白,cǎnbái,ㄘㄢˇ ㄅㄞˊ,deathly pale,7-9,形,28390,10091,7-9,9.0,0.27,0.9542,8.0,0.13,0.9031,2867.0,True
串门,串門,chuànmén,ㄔㄨㄢˋ ㄇㄣˊ,to call on sb; to drop in; to visit sb's home,7-9,动,28377,10092,7-9,24.0,0.72,1.3802,22.0,0.35,1.3424,2852.0,True
条理,條理,tiáolǐ,ㄊㄧㄠˊ ㄌㄧˇ,arrangement; order; tidiness,7-9,名,28377,10092,7-9,64.0,1.91,1.8062,53.0,0.85,1.7243,2812.0,True
椭圆,橢圓,tuǒyuán,ㄊㄨㄛˇ ㄩㄢˊ,oval; ellipse; elliptic,7-9,名,28258,10093,7-9,28.0,0.83,1.4472,21.0,0.34,1.3222,2848.0,True
痴心,痴心,chīxīn,ㄔ ㄒㄧㄣ,infatuation,7-9,名、形,28239,10094,7-9,11.0,0.33,1.0414,10.0,0.16,1.0,2865.0,True
笨重,笨重,bènzhòng,ㄅㄣˋ ㄓㄨㄥˋ,heavy; cumbersome; unwieldy; laborious; arduous,7-9,形,28219,10095,7-9,34.0,1.01,1.5315,32.0,0.51,1.5051,2842.0,True
热腾腾,熱騰騰,rèténgténg,ㄖㄜˋ ㄊㄥˊ ㄊㄥˊ,steaming hot; (fig.) bustling; hectic; (fig.) excited; stirred up; (fig.) created only a short time before; freshly minted; hot off the press; (coll.) also pr. [re4 teng1 teng1],7-9,形,28219,10095,7-9,43.0,1.28,1.6335,40.0,0.64,1.6021,2833.0,True
辞呈,辭呈,cíchéng,ㄘˊ ㄔㄥˊ,(written) resignation,7-9,名,28199,10096,7-9,60.0,1.79,1.7782,49.0,0.78,1.6902,2816.0,True
凑巧,湊巧,còuqiǎo,ㄘㄡˋ ㄑㄧㄠˇ,fortuitously; luckily; as chance has it,7-9,形,28195,10097,7-9,95.0,2.83,1.9777,86.0,1.38,1.9345,2781.0,True
恼羞成怒,惱羞成怒,nǎoxiū-chéngnù,ㄋㄠˇ ㄒㄧㄡ ㄔㄥˊ ㄋㄨˋ,(idiom) to become enraged over a perceived humiliation,7-9,unknown,28183,10098,7-9,16.0,0.48,1.2041,14.0,0.22,1.1461,2860.0,True
一举两得,一舉兩得,yìjǔ-liǎngdé,ㄧ ㄐㄩˇ ㄌㄧㄤˇ ㄉㄜˊ,"one move, two gains (idiom); two birds with one stone",7-9,unknown,28087,10099,7-9,13.0,0.39,1.1139,13.0,0.21,1.1139,2863.0,True
欢声笑语,歡聲笑語,huānshēng-xiàoyǔ,ㄏㄨㄢ˙ ㄕㄥ ㄒㄧㄠˋ ㄩˇ,cheers and laughter,7-9,unknown,27985,10100,7-9,21.0,0.63,1.3222,19.0,0.3,1.2788,2855.0,True
来龙去脉,來龍去脈,láilóng-qùmài,ㄌㄞˊ ㄌㄨㄥˊ ㄑㄩˋ ㄇㄞˋ,lit. the rise and fall of the terrain (idiom); fig. the whole sequence of events; causes and effects,7-9,unknown,27973,10101,7-9,60.0,1.79,1.7782,59.0,0.95,1.7709,2816.0,True
海藻,海藻,hǎizǎo,ㄏㄞˇ ㄗㄠˇ,seaweed; marine alga; kelp,7-9,名,27962,10102,7-9,73.0,2.18,1.8633,47.0,0.75,1.6721,2803.0,True
预兆,預兆,yùzhào,ㄩˋ ㄓㄠˋ,omen; sign (of sth yet to occur); prior indication; to foreshadow,7-9,名、动,27900,10103,7-9,118.0,3.52,2.0719,98.0,1.57,1.9912,2758.0,True
木匠,木匠,mùjiàng,ㄇㄨˋ ㄐㄧㄤˋ,carpenter,7-9,名,27890,10104,7-9,85.0,2.53,1.9294,54.0,0.86,1.7324,2791.0,True
毯子,毯子,tǎnzi,ㄊㄢˇ ㄗ˙,"blanket; CL:條|条[tiao2],張|张[zhang1],床[chuang2],面[mian4]",7-9,名,27889,10105,7-9,363.0,10.82,2.5599,256.0,4.1,2.4082,2513.0,True
埋没,埋沒,máimò,ㄇㄞˊ ㄇㄛˋ,to engulf; to bury; to overlook; to stifle; to neglect; to fall into oblivion,7-9,动,27856,10106,7-9,33.0,0.98,1.5185,33.0,0.53,1.5185,2843.0,True
乞求,乞求,qǐqiú,ㄑㄧˇ ㄑㄧㄡˊ,to beg,7-9,动,27847,10107,7-9,169.0,5.04,2.2279,137.0,2.19,2.1367,2707.0,True
喜出望外,喜出望外,xǐchūwàngwài,ㄒㄧˇ ㄔㄨ ㄨㄤˋ ㄨㄞˋ,to be pleased beyond one's expectations (idiom); overjoyed at the turn of events,7-9,unknown,27826,10109,7-9,16.0,0.48,1.2041,14.0,0.22,1.1461,2860.0,True
欣欣向荣,欣欣向榮,xīnxīn-xiàngróng,ㄒㄧㄣ ㄒㄧㄣ ㄒㄧㄤˋ ㄖㄨㄥˊ,(idiom) flourishing; thriving,7-9,unknown,27808,10110,7-9,10.0,0.3,1.0,8.0,0.13,0.9031,2866.0,True
小费,小費,xiǎofèi,ㄒㄧㄠˇ ㄈㄟˋ,tip; gratuity,7-9,名,27774,10112,7-9,401.0,11.95,2.6031,295.0,4.73,2.4698,2475.0,True
